OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
1,N11644,2017090801.00000000,2017,Lightning,2017-N11644,0.00000000,20170908,20170908,20170807,Unknown,JA70003000,0.00000000,1373842.00000000,64.63860000,33.50470000,151.16406250,51.28407038,21107,0,151.16406250,51.28407038,2017,August,20.10000000,34.00000000,4.50000000,28.99872320,0.00000000,0,28.99872320,20.38574896,19.60354119,1.74802951,0.61955060,19.99464507,1.183790055
2,V11290,2017072501.00000000,2017,Person,2017-V11290,0.00000000,20170725,20170725,20170722,Processed IR image,JA70003000,0.00000000,1373752.00000000,356.36620000,71.06250000,836.50781250,108.92831114,21443,0,836.50781250,108.92831110,2017,July,18.70000000,29.50000000,9.00000000,11.46794184,8.20000000,1,11.46794184,19.55349511,18.60373169,12.57891354,6.62470948,19.0786134,9.60181151
3,C20901,2017071001.00000000,2017,Lightning,2017-C20901,0.00000000,20170710,20170710,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1374025.00000000,438.00290000,81.37740000,1177.94531250,133.44604575,21256,0,1177.94531300,133.44604580,2017,July,14.40000000,30.00000000,2.00000000,29.07789622,27.00000000,3,29.07789622,16.24650489,14.96469454,12.57891354,6.62470948,15.60559971,9.60181151
4,C20900,2017071001.00000000,2017,Lightning,2017-C20900,0.10000000,20170710,20170710,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1374026.00000000,1909.80940000,163.59780000,5137.49218750,268.30132247,21257,0,5137.49218800,268.30132250,2017,July,14.40000000,30.00000000,2.00000000,28.77175126,27.00000000,3,28.77175126,16.24650489,14.96469454,12.57891354,6.62470948,15.60559971,9.60181151
5,C20347,2017062201.00000000,2017,Person,2017-C20347,0.10000000,20170622,20170626,20170622,Non-corrected ground GPS,JA70003000,0.00000000,1374035.00000000,1316.48420000,170.36810000,3475.73437500,276.86580502,21282,0,3475.73437500,276.86580500,2017,June,14.50000000,33.60000000,2.20000000,14.61422967,9.00000000,4,14.61422967,13.95505014,12.51759481,13.51910589,0.00000000,13.23632247,6.759552945
6,V11930,2017092801.00000000,2017,Person,2017-V11930,0.20000000,20170928,20170927,20170828,Non-corrected ground GPS,JA70003000,0.00000000,1373750.00000000,2740.76090000,233.78160000,6617.87500000,363.41274264,21441,0,6617.87500000,363.41274260,2017,August,24.20000000,39.30000000,12.10000000,28.60700026,0.00000000,0,28.60700026,22.64371677,21.37998338,1.74802951,0.61955060,22.01185007,1.183790055
7,V12051,2017090402.00000000,2017,Person,2017-V12051,0.20000000,20170904,20170906,20170904,Non-corrected ground GPS,JA70003000,0.00000000,1373749.00000000,2723.32020000,276.24460000,6529.72656250,427.76843174,21423,0,6529.72656300,427.76843170,2017,September,19.40000000,37.00000000,4.40000000,47.92572993,3.00000000,1,47.92572993,17.97499182,16.66220579,33.14996552,20.69538357,17.3185988,26.922674545
8,G92268,2017101701.00000000,2017,Person,2017-G92268,0.00000000,20171018,20171018,20171014,Ozi,JA70003000,0.00000000,1373912.00000000,956.17130000,225.83750000,3560.25781250,435.94099359,21112,0,3560.25781300,435.94099360,2017,October,7.70000000,18.60000000,-2.00000000,20.34517448,51.90000000,6,20.34517448,4.95090054,3.07913266,50.94761922,30.98606912,4.0150166,40.96684417
9,V91187,2017072001.00000000,2017,Person,2017-V91187,0.20000000,20170720,20170921,20170719,Non-corrected ground GPS,JA70003000,0.00000000,1373717.00000000,2593.12810000,278.84000000,6412.57031250,438.51569518,21538,0,6412.57031300,438.51569520,2017,July,14.80000000,23.50000000,8.00000000,11.42637394,3.60000000,1,11.42637394,14.96469454,13.23475030,23.64313695,12.57891354,14.09972242,18.111025245
10,V50174,2017052801.00000000,2017,Person,2017-V50174,0.50000000,20170528,20170615,20170521,Non-corrected ground GPS,JA70003000,0.00000000,1373740.00000000,5008.52010000,324.49100000,12098.44531250,504.57312326,21611,0,12098.44531000,504.57312330,2017,May,10.70000000,28.80000000,-3.30000000,94.29452314,79.90000000,16,94.29452314,13.04469185,12.39348495,143.16126780,100.51813920,12.7190884,121.8397035
